titulo,empresa,enlace,ubicacion,modalidad,tipo_empleo,tecnologias,fecha,descripcion
Director/a de Operaciones,Michael Page,https://www.tecnoempleo.com/director-operaciones-michael-page/lean-sigma/rf-a0b616735221238ba346,12/05/2025,Actualizada,Barcelona,"Lean, Sigma",Actualizada,"Perfil buscado (Hombre/Mujer)

• Liderar y supervisar las operaciones diarias de los departamentos de Project Management, Ingeniería, Producción y Supply Chain.
• ...LeanSigma"
Consultor/a Cegid PeopleNet,Krell Consulting & Training,https://www.tecnoempleo.com/consultor-cegid-peoplenet-krell-consulting-trainin/cegid-peoplenet-m4o/rf-33e21887e255b3e4f746,12/05/2025,Actualizada,100% remoto,"cegid, peoplenet, M4O",Actualizada,"Descripción  
En Krell Consulting, nos encontramos en la búsqueda de un Consultor Cegid PeopleNet para incorporarse a nuestro equipo en un proyecto para la Administración P...cegidpeoplenetM4O"
Data Privacy and AI,AstraZeneca,https://www.tecnoempleo.com/data-privacy-and-ai-astrazeneca/data-privacy-artificial-intelligence/rf-e54c101c0283a3961d43,12/05/2025,Actualizada,Barcelona,"data privacy, Artificial Intelligence",Actualizada,"Location: Barcelona, Spain (on-site) / 3 days working from the office.

The R&D Data Office is embarking on a bold transformation to support AZ ambitions to double the ...data privacyArtificial Intelligence"
DevOps experto Kubernetes,Michael Page,https://www.tecnoempleo.com/devops-experto-kubernetes-michael-page/kubernetes-linux-openstack-terrafor/rf-56ef1cebb2dbb32d404c,12/05/2025,Actualizada,Baleares,"kubernetes, linux, OpenStack",Actualizada,"Perfil buscado (Hombre/Mujer)

• Integrar sistemas de software, aplicaciones, servicios  
• On premise  
• Crear y mantener soluciones DevOps.  
• Colaborar con ...kuberneteslinuxOpenStack"
Hospitality Systems Specialist,WORLDWIDE LEISURE SERVICES SL.,https://www.tecnoempleo.com/hospitality-systems-specialist-worldwide-leisure-s/oracle-opera-cloud/rf-997e1580324c4305cc4d,12/05/2025,Actualizada,Málaga,"Oracle, Opera, Cloud",Actualizada,IDILIQ Group is looking for a Hospitality Systems Specialist with an emphasis on OPERA Cloud to join our team. If you have experience in implementing & supporting Resort ...OracleOperaCloud
Técnico/a Aplicaciones Logístico (B2),Serem,https://www.tecnoempleo.com/tecnico-aplicaciones-logistico-b2-serem/sql-data-warehouse/rf-e98a17035223d3c8b54f,12/05/2025,Actualizada,Madrid,"SQL, Data Warehouse",Actualizada,"En Serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un/a Técnico de ...SQLData Warehouse"
QA Auomation Mobile (Enginner),Serem,https://www.tecnoempleo.com/qa-auomation-mobile-enginner-serem/appium-ios-android/rf-a4091d87326a2302f24f,12/05/2025,Actualizada,Madrid,"Appium, iOS, Android",Actualizada,"En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un QA Engineer Automation...AppiumiOSAndroid"
Analista Programador/a - APPIAN Java,Serem,https://www.tecnoempleo.com/analista-programador-appian-java-serem/appian-java/rf-e0aa1b6ba23c03535245,12/05/2025,Actualizada,Madrid,"Appian, Java",Actualizada,"En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un Analista Programador/a...AppianJava"
Business Analyst MUREX (Inglés C1),Serem,https://www.tecnoempleo.com/business-analyst-murex-ingles-c1-serem/murex-jira-confluence/rf-1e2b14ebe29d8350324c,12/05/2025,Actualizada,100% remoto,"MUREX, Jira, Confluence",Actualizada,"En Serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.
Nos encontramos en la búsqueda de un/a Business Analyst (...MUREXJiraConfluence"
Programador C,Social You,https://www.tecnoempleo.com/programador-c-social-you/c-sql-linux-oracle-unix/rf-11971f52b29cf382d040,12/05/2025,Actualizada,100% remoto,"C, sql, linux",Actualizada,"Posición orientada a desarrolladores en C con experiencia en entornos Linux y bases de datos SQL. 

Se requiere conocimiento en programación de bajo nivel, optimización de ...Csqllinux"
Analista programador/a entornos host PL1,Social You,https://www.tecnoempleo.com/analista-programador-entornos-host-pl1-social-you/host-cobol-pl1/rf-77311c17b2a5f36fff44,12/05/2025,Actualizada,100% remoto,"host, cobol, PL1",Actualizada,"Buscamos  un/a Analista Programador/a para incorporarse a un proyecto de en modalidad 100% remoto, con proyección hasta el 31/12/2025, con posibilidad de ampliación.

El ...hostcobolPL1"
FinOps Analyst,Social You,https://www.tecnoempleo.com/finops-analyst-social-you/finops-genai-aws-sql-power-bi-quicksight/rf-523912f8529b6314f648,12/05/2025,Actualizada,100% remoto,"FinOps, GenAI, AWS",Actualizada,"Buscamos un perfil de FinOps para colaborar en la definición e implementación de la capa de monitorización, tanto a nivel empresarial como técnico, de la plataforma GenAI ...FinOpsGenAIAWS"
Arquitecto de Monitorización,Social You,https://www.tecnoempleo.com/arquitecto-monitorizacion-social-you/dynatrace-elk-elasticsearch-linux-aws/rf-7918118e724323fb464b,12/05/2025,Actualizada,100% remoto,"dynatrace, ELK, ElasticSearch",Actualizada,"Perfil de monitorización (ELK/Kafka/Dynatrace/Grafana...

Experiencia práctica en aplicaciones Dynatrace y ELK Stack
Experiencia en Monitoreo de Aplicaciones Backend/...dynatraceELKElasticSearch"
