titulo,empresa,descripcion,fecha,tecnologias,link
Técnico de campo,FutuRS,FutuRS es la división tecnológica del Grupo Ribera Salud. FutuRS es un nuevo concepto de salud en el que fusionamos visión clínica y tecnología para dar una respuesta ó...microinformaticawindows,,"microinformatica, windows",https://www.tecnoempleo.com/tecnico-campo-futurs/microinformatica-windows/rf-66ea15e4f24e4360ba4a
.NET Developer,FutuRS,Futurs es el brazo tecnológico del Grupo Ribera Salud. Trabajamos con y para las personas en un nuevo concepto de salud que fusiona la medicina y la tecnología para proponer....NetC#SQL Server,,".Net, C#, SQL Server",https://www.tecnoempleo.com/net-developer-futurs/net-c-sql-server-mvc4/rf-33501b61a20bf347e649
Ingeniero infraestructuras IT AWS Azure,Serem,"En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Se necesita un/a ingeniero/a de infraestructura con ...DFSAWSAzure",,"DFS, AWS, Azure",https://www.tecnoempleo.com/ingeniero-infraestructuras-it-aws-azure-serem/dfs-aws-azure-terraform-powe/rf-ff6e183042f323629545
Administrador/a Sistemas Microsoft O365,Serem,"En Serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un/a Administrador/A de ...ExchangeOffice 365",,"Exchange, Office 365",https://www.tecnoempleo.com/administrador-sistemas-microsoft-o365-serem/exchange-office-365/rf-f58110b942f7e35eac48
Consultor SAP HCM,ConsulSAP,"ConsulSAP busca Consultor SAP HCM para actividades de mantenimientos, soporte, evolutivos y/o rollouts en diferentes proyectos. 

Incorporación: ASAP
Duración: 6 meses (+ a ...SAPSAP HCMSAP HR",,"SAP, SAP HCM, SAP HR",https://www.tecnoempleo.com/consultor-sap-hcm-consulsap/sap-sap-hcm-sap-hr-freelance/rf-d95a1b7b824003a6204e
Consultor BMC Discovery,PANEL Sistemas Informáticos,Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la ...BMC DiscoveryTPL,,"BMC Discovery, TPL",https://www.tecnoempleo.com/consultor-bmc-discovery-panel-sistemas-informatico/bmc-discovery-tpl/rf-68261f7b82ccc351cb48
Desarrollador/a Full Stack Python,Serem,"Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!

En SEREM estamos comprometidos con diversos proyectos y queremos contar con los ...PythonDjangojavascript",,"Python, Django, javascript",https://www.tecnoempleo.com/desarrollador-full-stack-python-serem/python-django-javascript/rf-ed381df2e209133c2548
Técnico de Soporte Técnico,Zaidan IT Consulting,"Técnico/a Informático/a - Proyecto de montaje en Martorell, Barcelona

Ubicación: FWJ2+F8, 08760 , Martorell
Fechas: Incorporación inmediata con finalización el dia 15 de...soportemicroinformática",,"soporte, microinformática",https://www.tecnoempleo.com/tecnico-soporte-tecnico-zaidan-it-consulting/soporte-microinformatica/rf-48ca181442b0c386ef43
Administrador/a seguridad perimetral,Serem,"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestra web!
En SEREM estamos comprometidos con diversos proyectos y ...fortinetpaloaltoinfoblox cisco",,"fortinet, paloalto, infoblox cisco",https://www.tecnoempleo.com/administrador-seguridad-perimetral-serem/fortinet-paloalto-infoblox-cisco-/rf-73c21612c206f3a4724b
Data Scientist,Serem,"En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.

Nos encontramos en la búsqueda de un/una Data Scientist ...pythoncloudPLN",,"python, cloud, PLN",https://www.tecnoempleo.com/data-scientist-serem/python-cloud-pln-sql-etl-pandas/rf-c041135e42470332cc49
Analista Programador Dynamics 365,Krell Consulting & Training,"Descripción  
En Krell Consulting, nos encontramos en la búsqueda de un Analista Programador Dynamics, para unirse a nuestro equipo, en modalidad remota.  

PERFIL: Analista...dynamicsdynamics 365",,"dynamics, dynamics 365",https://www.tecnoempleo.com/analista-programador-dynamics-365-krell-consulting/dynamics-dynamics-365/rf-2b8d1abb32101371694e
Analista Programador/a senior JAVA,Krell Consulting & Training,"Descripción  
🎯 ¡Buscamos un/a Analista Programador/a Senior Java!  

📍 Ubicación: Sevilla (teletrabajo con algo de presencialidad)  
🚀 Proyecto puntero en entorno...JavaSpring",,"Java, Spring",https://www.tecnoempleo.com/analista-programador-senior-java-krell-consulting-/java-spring/rf-18e21b05a2f703b7bd40
Analista Programador/a Java,Krell Consulting & Training,"Descripción
🚀 ¡Desde Krell Consulting estamos buscando un/a Analista Programador/a Java con experiencia en AWS!
¿Tienes más de 3 años de experiencia desarrollando ...javaaws",,"java, aws",https://www.tecnoempleo.com/analista-programador-java-madrid/java-aws/rf-e302124d92caf3a4ef42
Technical Lead AZURE AWS,Krell Consulting & Training,"Descripción  
Nos encontramos en la búsqueda de un/a Technical Lead con al menos 5 años de experiencia para trabajar con un importante cliente en contratación inicial con ...awsazureTerraform",,"aws, azure, Terraform",https://www.tecnoempleo.com/technical-lead-azure-aws-krell-consulting-training/aws-azure-terraform/rf-b5e61b0012cc43eca948
DBA SQL Server (perfil medio),PSS,¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría ...sqllinuxoracle,,"sql, linux, oracle",https://www.tecnoempleo.com/dba-sql-server-perfil-medio-pss/sql-linux-oracle-data-db2-rest-unix-lan/rf-cc021254228b13da2b4e
Consultor/a en Ciberinteligencia,Baoss,🔎 Desde Baoss estamos buscando un/a Consultor/a en Ciberinteligencia (Cyber Intelligence) con experiencia en administración de herramientas EDR y NDR para un proyecto en ...QRadarThreatQTheHive,,"QRadar, ThreatQ, TheHive",https://www.tecnoempleo.com/consultor-en-ciberinteligencia-baoss/qradar-threatq-thehive-tenable-stamus/rf-25d5183c02b123600142
DBA 100% Remoto,TRS Staffing Solutions,"En T.R.S. Staffing Solutions buscamos un perfil de DBA para trabajar con uno de nuestros clientes del sector IT.

¿Qué buscamos?

--- Requisitos:
• Ingles nivel B2 alto o ...MySQLSQLOracle",,"MySQL, SQL, Oracle",https://www.tecnoempleo.com/dba-100-remoto-trs-staffing-solutions/mysql-sql-oracle-postgresql/rf-9a55157762f953e1774d
Prácticas: ciberseguridad SecDevOps,GMV,"Todos queremos ser Batman… pero sabemos que no habría llegado tan lejos sin Robin. Si quieres comenzar tu carrera profesional siendo el escudero de un equipo de élite, ¡...LinuxKubernetesCI/CD",,"Linux, Kubernetes, CI/CD",https://www.tecnoempleo.com/practicas-ciberseguridad-secdevops-gmv/linux-kubernetes-ci-cd/rf-1e151d933297e392a54f
Devops Lead,Axiom Software Solutions,"Job Title: Devops Lead
Location: Leeds, United Kingdom (Hybrid- 2 days/week)
Job Type: Contract Inside IR35
Client: Wipro

Mandatory Skills: Ansible Tower 
Experience: 8...Kafka",,Kafka,https://www.tecnoempleo.com/devops-lead-axiom-software-solutions/kafka/rf-1b6f11af127be3c59d4a
Java Developer,Axiom Software Solutions,"Job title: Java Developer  
Location : Glasgow, UK (5 days onsite)
Type- contract/Perm
Experience level- atleast 7+ year experience
Client: Mphasis

Key Responsibilities...javaspringreact",,"java, spring, react",https://www.tecnoempleo.com/java-developer-axiom-software-solutions/java-spring-react/rf-49c21b5b62f353be0444
Analista de Datos,Serem,Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestro enlace de empleo en: https://www.serem.com/language/es/empleo/...ExcelPower BI,,"Excel, Power BI",https://www.tecnoempleo.com/analista-datos-serem/excel-power-bi/rf-2cbc1b1382e1e3654946
Desarrollador/a Angular 16/17,Digital Talent Agency,"¿Quieres formar parte de uno de nuestros proyectos y trabajar en un importante proyecto de Adm. Pública? ¿y además realizar 100% teletrabajo?

Cada vez son menos las compa...javajavascriptangular",,"java, javascript, angular",https://www.tecnoempleo.com/desarrollador-angular-16-17-digital-talent-agency/java-javascript-angular-/rf-fdf51dbe322b13fb7940
Técnico Informático,Zaidan IT Consulting,"Para importante cliente Ubicado en Toledo capital se requiere:

Técnico Informático
Fechas: Incorporación marets 13 de mayo hasta el 27 de mayo 
Horario: De 8:00 a 17:00 
...soporteticketing",,"soporte, ticketing",https://www.tecnoempleo.com/tecnico-informatico-zaidan-it-consulting/soporte-ticketing/rf-f3c91853f26b332e0d48
Desarrollador Qlikview/Qliksense,Grupo NS,Desde Grupo NS estamos seleccionando Desarrolladores con al menos 3 años de experiencia en Qlikview y Qliksense para un importante proyecto dentro del sector industria 100% ...SQLqlikviewQLIKSENSE,,"SQL, qlikview, QLIKSENSE",https://www.tecnoempleo.com/desarrollador-qlikview-qliksense-grupo-ns/sql-qlikview-qliksense-bbdd/rf-d71d11a4a2f283973b44
Operador/a Sistemas 24x7,Digital Talent Agency,"¿Buscas nuevos retos donde crecer profesionalmente en una compañía que te dé estabilidad?

Posición de Operador/a de Sistemas 24x7 para formar parte de un cliente líder ...linuxdatavmware",,"linux, data, vmware",https://www.tecnoempleo.com/operador-sistemas-24x7-digital-talent-agency/linux-data-vmware-cloud-rest-/rf-ba351ea532fb63a4a04b
