titulo,tipo_puesto,tecnologias_x,jornada,es_remoto,link
Product Owner,Responsable de Producto,"mea4,scum,agile",Jornada completa,True,https://www.tecnoempleo.com/product-owner-serem/meta4-scrum-agile-jira/rf-f30f11aff2c3a3652849
Front-End Developer (Angular),Analista Programador,"agula,java,javascip",Jornada completa,False,https://www.tecnoempleo.com/front-end-developer-angular-bcnc-group/angular-java-javascript-git-api-jir/rf-ef001612b2d00393be41
Country Manager Spain,Comercial,"Cloud,AWS",Jornada completa,False,https://www.tecnoempleo.com/country-manager-spain-fides-solutions/cloud-aws/rf-76b51d3d820b9322be4a
Programadores Angular,Analista Programador,"java,agula,gi",Jornada completa,True,https://www.tecnoempleo.com/programadores-angular-seltime/java-angular-git-android-ios-hibernate/rf-0bbc1600220063154c4e
Desarrollador/a C++,Analista Programador,"c,Liux",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-c-madrid/c-linux/rf-909213c3d20e839ce947
HELIX BMC ITSM Consultant,Consultor,"APIREST,SOAP,ESB",Jornada completa,True,https://www.tecnoempleo.com/helix-bmc-itsm-consultant-panel-sistemas-informati/api-rest-soap-esb-javas/rf-ccac12517205e3fb5842
Soporte en Aplicativos (SQL),Programador,"SQL,PL/SQL",Jornada completa,False,https://www.tecnoempleo.com/soporte-en-aplicativos-sql-digital-talent-agency/sql-pl-sql/rf-811d1091822d43dbe449
Ingeniero DevOps,DevOps,"Cofluece,jia,docke",Jornada completa,True,https://www.tecnoempleo.com/ingeniero-devops-second-window/confluence-jira-docker-api-aws/rf-f4d31f061280636ea04d
Administrador de Bases de Datos,Base de Datos/DBA,"oacle,SQL,pyho",Jornada completa,False,https://www.tecnoempleo.com/administrador-bases-datos-trs-staffing-solutions/oracle-sql-python-aws-azu/rf-e0041dc542c9531ca747
Desarrolladores Java/Linux Integracion,Analista Programador,"Jekis,Java,Liux",Jornada completa,True,https://www.tecnoempleo.com/desarrolladores-java-linux-integracion-panel-siste/jenkins-java-linux-git-/rf-15271783d232e3f8bf4f
Desarrollador/a Backend ASO/APX,Programador,"java,APX,aso",Jornada completa,True,https://www.tecnoempleo.com/desarrollador-backend-aso-apx-serem/java-apx-aso/rf-158f1098525593299348
Product Designer,Diseno grafico,"figma,ui,HTML",Jornada completa,True,https://www.tecnoempleo.com/product-designer-gstock-web-app/figma-ui-html-css-ux-sketch/rf-7f6c1ebf1236a324f349
Data Engineer (Scala/Spark),Big Data,"Spak,Scala,Sql",Jornada completa,True,https://www.tecnoempleo.com/data-engineer-scala-spark-second-window/spark-scala-sql-git-jenkins/rf-b21e1654029e33814a40
Programador Java (C1) AWS,Programador,"Java,Aws,TDD",Jornada completa,True,https://www.tecnoempleo.com/programador-java-c1-aws-second-window/java-aws-tdd-bdd-ci-cd/rf-1f1a134ba27df32c3a4f
Consultor Mulesoft,Consultor,"Mulesof,mule4",Jornada completa,False,https://www.tecnoempleo.com/consultor-mulesoft-cmv-consultores/mulesoft-mule-4/rf-a7141f6c426073277342
Junior Business Analyst,Analista,"Agile,Jia,ALM",Jornada completa,False,https://www.tecnoempleo.com/junior-business-analyst-axiom-software-solutions/agile-jira-alm/rf-eced12aea2d9830b8746
"Programador Java J2EE,Jquery,Javascript",Programador,"J2EE,JAVA,JAVSCRIPT",Jornada completa,False,https://www.tecnoempleo.com/programador-java-j2ee-jquery-javascript-second-win/j2ee-java-javscript-jqu/rf-e16c17ea022283b08740
Fullstack Senior Next.js/React,Analista,"Nex.js,Reac,Soybook",Jornada completa,False,https://www.tecnoempleo.com/fullstack-senior-nextjs-react-panel-sistemas-infor/nextjs-react-storybook-/rf-96b6190cc26613460a48
"DBA Oracle perfil medio (RAC, DataGuard)",Base de Datos/DBA,"sql,Linux,oacle",Jornada completa,True,https://www.tecnoempleo.com/dba-oracle-perfil-medio-rac-dataguard-pss/sql-linux-oracle-data-db2-rest-u/rf-53c91a9df2e073f4e549
React Developer,Programador,"eac,JavaScip",Jornada completa,False,https://www.tecnoempleo.com/react-developer-hibrido/react-javascript/rf-bfcf10f6f287d3928340
Tecnico de IT/HelpDesk on-site,Helpdesk,"sopoe,edes,hadwae",Jornada completa,False,https://www.tecnoempleo.com/tecnico-it-helpdesk-on-site-la-casa-del-pc/soporte-redes-hardware-helpdesk/rf-85551ae292b1d300454d
.NET Developer,Analista Programador,".NET,WCF,ADO.NET",Jornada completa,False,https://www.tecnoempleo.com/net-developer-bcnc-group/net-wcf-ado-net-entity-framerowk-apis-rest-sql-sc/rf-f02719abe247f31b7448
DevOps Engineer,DevOps,"Kubernetes,AKS,Azure",Jornada completa,True,https://www.tecnoempleo.com/devops-engineer-bcnc-group/kubernetes-aks-azure-helm-grafana-prometheus-el/rf-26671a9ee244a3610146
Observability Engineer,Técnico de Sistemas,"OpeTelemey,Gafaa,PluggigD3",Jornada completa,True,https://www.tecnoempleo.com/observability-engineer-panel-sistemas-informaticos/open-telemetry-grafana-/rf-d01012144220a3ab0641
DevOps Engineer,DevOps,"java,kubeees,gi",Jornada completa,False,https://www.tecnoempleo.com/devops-engineer-serem/java-kubernetes-git-typescript-ci-cd/rf-91441e1422d8d30f6d4a
Operador/a 24*7(Nagios - Cloud Support),Operador,"cloud,agios,Linux",Jornada completa,False,https://www.tecnoempleo.com/operador-24-7-nagios-cloud-support-pss/cloud-nagios-linux/rf-be4c12b3b285f36c7d43
Desarrolladores/as senior Java,Analista Programador,"JAVA,OAUTH,MVC",Jornada completa,True,https://www.tecnoempleo.com/desarrolladores-senior-java-bcnc-group/java-oauth-mvc-jpa/rf-90f617ea52f4f3a68c4e
Consultor/a de Aplicaciones - Microsoft,Consultor,"azue,devops,bac",Jornada completa,True,https://www.tecnoempleo.com/consultor-aplicaciones-microsoft-digital-talent-ag/azure-devops-rbac-power/rf-51a91f393252d3221944
Desarrollador React + Node.js. Ingles alto,Programador,"Reac,Node,HTML",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-react-nodejs-ingles-alto-second-wind/react-node-html-css/rf-01481544d219c3a4d64a
Desarrollador Senior Appian,Programador,appia,Jornada completa,False,https://www.tecnoempleo.com/desarrollador-senior-appian-cmv-consultores/appian/rf-08b4127ae25313af1f46
Presales Tecnico para XDRnet,Ciberseguridad,"XDR,EDR,SIEM",Jornada completa,False,https://www.tecnoempleo.com/presales-tecnico-para-xdrnet-seven-sector-technolo/xdr-edr-siem-aws-azure/rf-c3911da9720a9372f54b
